ts_code,ann_date,end_date,audit_result,audit_agency,audit_sign
000595.SZ,20120320,20111231,带强调事项段的无保留意见,信永中和会计师事务所,"司建军,常瑛"
000595.SZ,20110419,20101231,带强调事项段的无保留意见,信永中和会计师事务所,"司建军,常瑛"
000603.SZ,20110428,20101231,带强调事项段的无保留意见,天健正信会计师事务所,"阮响华,邱鸿"
000603.SZ,20100206,20091231,带强调事项段的无保留意见,天健正信会计师事务所,"龙文虎,阮响华"
000605.SZ,20130206,20121231,带强调事项段的无保留意见,中兴华富华会计师事务所,"戚桂旺,杜金霞"
000605.SZ,20120309,20111231,带强调事项段的无保留意见,中兴华富华会计师事务所,"张学峰,侯淑娟"
000605.SZ,20110421,20101231,带强调事项段的无保留意见,中兴华富华会计师事务所,"张学峰,侯淑娟"
000605.SZ,20100408,20091231,带强调事项段的无保留意见,中兴华富华会计师事务所,"赵志强,侯淑娟"
000611.SZ,20190430,20181231,带强调事项段的无保留意见,大华会计师事务所,"于建永,杜武明"
000611.SZ,20180427,20171231,带强调事项段的无保留意见,大华会计师事务所,"于建永,陈伟"
000611.SZ,20160430,20151231,保留意见,大华会计师事务所,"于建永,杜武明"
000613.SZ,20120426,20111231,带强调事项段的无保留意见,立信会计师事务所,"朱建清,朱美荣"
000620.SZ,20110108,20101231,带强调事项段的无保留意见,京都天华会计师事务所,"黄志斌,傅智勇"
000620.SZ,20100120,20091231,带强调事项段的无保留意见,京都天华会计师事务所,"黄志斌,傅智勇"
000622.SZ,20120426,20111231,带强调事项段的无保留意见,天职国际会计师事务所,"钟炽兵,李海来"
000622.SZ,20110421,20101231,带强调事项段的无保留意见,中审国际会计师事务所,"张乾明,刘其中"
000622.SZ,20100428,20091231,带强调事项段的无保留意见,深圳南方民和会计师事务所,"周俊杰,周红宇"
000626.SZ,20190321,20181231,保留意见,天衡会计师事务所,"陈建忠,陈婷婷"
000626.SZ,20180428,20171231,保留意见,天衡会计师事务所,"游世秋,陈婷婷"
000629.SZ,20160429,20151231,带强调事项段的无保留意见,瑞华会计师事务所,"匡小尝,刘红平"
000629.SZ,20150429,20141231,带强调事项段的无保留意见,瑞华会计师事务所,"匡小尝,黄飞"
000629.SZ,20140418,20131231,带强调事项段的无保留意见,瑞华会计师事务所,"黄飞,赵金义"
000657.SZ,20130321,20121231,带强调事项段的无保留意见,天职国际会计师事务所,"刘宇科,李明,龚菊香"
000657.SZ,20120804,20120630,带强调事项段的无保留意见,天职国际会计师事务所,"刘宇科,李明"
000657.SZ,20120327,20111231,带强调事项段的无保留意见,天职国际会计师事务所,"李明,龚菊香"
000657.SZ,20110315,20101231,带强调事项段的无保留意见,天职国际会计师事务所,"李明,龚菊香"
000657.SZ,20100327,20091231,带强调事项段的无保留意见,天职国际会计师事务所,"李军,刘新会"
000659.SZ,20170429,20161231,带强调事项段的无保留意见,中喜会计师事务所,"李力,单鹏飞"
000662.SZ,20190430,20181231,带强调事项段的无保留意见,中准会计师事务所,"何燕秋,谭旭明"
000663.SZ,20190430,20181231,保留意见,致同会计师事务所,"陈连锋,陈裕成"
000668.SZ,20150430,20141231,带强调事项段的无保留意见,众环海华会计师事务所,"王郁,肖文涛"
000669.SZ,20190429,20181231,带强调事项段的无保留意见,立信中联会计师事务所,"高凯,周赫然"
000670.SZ,20190423,20181231,保留意见,亚太(集团)会计师事务所,"陈刚,孙伟捷"
000670.SZ,20180424,20171231,保留意见,亚太(集团)会计师事务所,"陈刚,周先宏"
000670.SZ,20170314,20161231,带强调事项段的无保留意见,亚太(集团)会计师事务所,"陈浩,陈刚"
000670.SZ,20160429,20151231,无法表示意见,致同会计师事务所,"王恒忠,宋娜"
000672.SZ,20120424,20111231,带强调事项段的无保留意见,中喜会计师事务所,"李力,陈翔"
000672.SZ,20110411,20101231,带强调事项段的无保留意见,中喜会计师事务所,"李力,陈翔"
000672.SZ,20100415,20091231,带强调事项段的无保留意见,中喜会计师事务所,"李力,陈翔"
000673.SZ,20150430,20141231,带强调事项段的无保留意见,致同会计师事务所,"王玉才,霍永升"
000673.SZ,20140410,20131231,带强调事项段的无保留意见,致同会计师事务所,"王玉才,霍永升"
000673.SZ,20130425,20121231,带强调事项段的无保留意见,致同会计师事务所,"霍永升,肖晓燕"
000673.SZ,20120420,20111231,带强调事项段的无保留意见,天健正信会计师事务所,"霍永升,梁青民"
000673.SZ,20110421,20101231,带强调事项段的无保留意见,天健正信会计师事务所,"王玉才,霍永升"
000673.SZ,20100422,20091231,无法表示意见,天健正信会计师事务所,"郭新民,穆海荣"
000677.SZ,20120420,20111231,保留意见,北京永拓会计师事务所,"李景伟,荆秀梅"
000681.SZ,20120228,20111231,带强调事项段的无保留意见,立信会计师事务所,"孙晓爽,孙淑平"
000681.SZ,20110318,20101231,带强调事项段的无保留意见,南京立信永华会计师事务所,"孙晓爽,孙淑平"
000681.SZ,20100424,20091231,带强调事项段的无保留意见,南京立信永华会计师事务所,"陈奕彤,杜迎花"
000688.SZ,20120717,20120630,带强调事项段的无保留意见,信永中和会计师事务所,"罗建平,黄志芬"
